ID,Ten_nha_cung_ung,Dia_chi,Tinh_Thanh,Vi_do,Kinh_do
1,SHOWROOM HÀ NỘI,"Tầng 1, toà nhà Viglacera, số 1 Đại lộ Thăng Long, phường Mễ Trì, quận Nam Từ Liêm, Hà Nội",Hà Nội,21.0096,105.782
2,SHOWROOM PHÚ THỌ,"201 Quang Trung, phường Nông Trang, thành phố Việt Trì, tỉnh Phú Thọ",Tỉnh Phú Thọ,21.325,105.43
3,SHOWROOM VINH,"Lô C21 – C22, khu đô thị Minh Khang, Nghi Phú, TP. Vinh, tỉnh Nghệ An",Tỉnh Nghệ An,18.6714,105.687
4,SHOWROOM ĐÀ NẴNG,"275 - 277 Điện Biên Phủ, quận Thanh Khê, thành phố Đà Nẵng",Thành phố Đà Nẵng,16.07,108.214
5,SHOWROOM THÀNH PHỐ HỒ CHÍ MINH,"34 - 36 Nguyễn Cơ Thạch, Phường An Lợi Đông, thành phố Thủ Đức, TP. Hồ Chí Minh",TP. Hồ Chí Minh,10.8231,106.713
6,EUROTILE CENTER HÀ NỘI,"240 Võ Chí Công, P. Xuân La, Q. Tây Hồ, Hà Nội",Hà Nội,21.0495,105.7565
7,EUROTILE CENTER VINH,"C1+C2, KĐT Minh Khang, Đại Lộ Lenin, TP. Vinh",TP. Vinh,18.6714,105.687
